datetime,open,high,low,close,volume
2026-09-02T19:00:00Z,77357.0,77393.0,77100.0,77319.0,840.36458
2026-09-02T20:00:00Z,77318.0,77501.0,77179.0,77383.0,1020.10013
2026-09-02T21:00:00Z,77384.0,77413.0,77210.0,77264.0,474.04828
2026-09-02T22:00:00Z,77265.0,77265.0,76980.0,77001.0,1075.27469
2026-09-02T23:00:00Z,77002.0,77361.0,76983.0,77319.0,615.67808
2026-09-03T00:00:00Z,77320.0,77368.0,76958.0,77043.0,990.53674
2026-09-03T01:00:00Z,77044.0,77535.0,76951.0,77337.0,2064.43201
2026-09-03T02:00:00Z,77338.0,77911.0,77216.0,77798.0,1704.49593
2026-09-03T03:00:00Z,77801.0,77851.0,77622.0,77684.0,598.96185
2026-09-03T04:00:00Z,77685.0,77826.0,77518.0,77761.0,1638.38354
2026-09-03T05:00:00Z,77763.0,77827.0,77090.0,77799.0,2381.40128
2026-09-03T06:00:00Z,77800.0,77839.0,77679.0,77822.0,742.52362
2026-09-03T07:00:00Z,77823.0,78177.0,77569.0,77635.0,2354.81572
2026-09-03T08:00:00Z,77636.0,78056.0,77636.0,77815.0,967.31275
2026-09-03T09:00:00Z,77814.0,77970.0,77587.0,77593.0,892.71153
2026-09-03T10:00:00Z,77594.0,77752.0,77456.0,77706.0,1124.00022
2026-09-03T11:00:00Z,77707.0,77972.0,77687.0,77911.0,759.73163
2026-09-03T12:00:00Z,77911.0,78748.0,77859.0,78617.0,3446.82477
2026-09-03T13:00:00Z,78617.0,78973.0,78420.0,78797.0,3025.80226
2026-09-03T14:00:00Z,78798.0,80546.0,78667.0,80533.0,8863.0725
2026-09-03T15:00:00Z,80519.0,81346.0,80305.0,81311.0,6210.5149
2026-09-03T16:00:00Z,81311.0,81336.0,80600.0,80942.0,4744.73833
2026-09-03T17:00:00Z,80945.0,81161.0,80863.0,81000.0,1366.03142
2026-09-03T18:00:00Z,81000.0,81300.0,80849.0,81227.0,1710.69349
2026-09-03T19:00:00Z,81228.0,81755.0,81129.0,81698.0,3502.70365
2026-09-03T20:00:00Z,81704.0,81748.0,81341.0,81417.0,1963.39908
2026-09-03T21:00:00Z,81416.0,82268.0,81250.0,81546.0,3287.75192
2026-09-03T22:00:00Z,81547.0,81572.0,80850.0,81105.0,2530.46749
2026-09-03T23:00:00Z,81106.0,81311.0,81057.0,81244.0,953.44763
2026-09-04T00:00:00Z,81244.0,81400.0,80913.0,80925.0,1235.0542
2026-09-04T01:00:00Z,80925.0,81064.0,80733.0,80936.0,892.58261
2026-09-04T02:00:00Z,80936.0,80936.0,80630.0,80795.0,1048.27039
2026-09-04T03:00:00Z,80795.0,80995.0,80764.0,80796.0,921.39055
2026-09-04T04:00:00Z,80797.0,81270.0,80778.0,81041.0,800.9033
2026-09-04T05:00:00Z,81041.0,81108.0,80809.0,80954.0,517.382
2026-09-04T06:00:00Z,80954.0,81063.0,80528.0,80778.0,1149.07632
2026-09-04T07:00:00Z,80778.0,80947.0,80614.0,80636.0,752.70842
2026-09-04T08:00:00Z,80630.0,81221.0,80497.0,81124.0,1133.96902
2026-09-04T09:00:00Z,81125.0,81280.0,80903.0,81031.0,1009.82442
2026-09-04T10:00:00Z,81031.0,81165.0,80792.0,81161.0,750.22537
2026-09-04T11:00:00Z,81161.0,81374.0,81056.0,81181.0,795.66818
2026-09-04T12:00:00Z,81181.0,81318.0,79156.0,79434.0,7646.35573
2026-09-04T13:00:00Z,79434.0,79690.0,78953.0,79366.0,5176.72969
2026-09-04T14:00:00Z,79366.0,79568.0,78600.0,78881.0,5300.81066
2026-09-04T15:00:00Z,78880.0,79511.0,78763.0,79378.0,2864.3375
2026-09-04T16:00:00Z,79377.0,79862.0,79341.0,79723.0,2686.1827
2026-09-04T17:00:00Z,79718.0,79729.0,79340.0,79442.0,1313.91286
2026-09-04T18:00:00Z,79443.0,79626.0,79442.0,79585.0,730.35435
2026-09-04T19:00:00Z,79587.0,79778.0,79587.0,79761.0,894.37352
