datetime,inflow_mean,inflow_top10,inflow_total
2023-09-10T02:00:00Z,1.03970421,304.45717038,329.58623539
2023-09-10T03:00:00Z,0.21462589,71.10799333,86.70885933
2023-09-10T04:00:00Z,0.06100425,5.25357918,7.50352218
2023-09-10T05:00:00Z,0.51702243,292.43461762,332.44542379
2023-09-10T06:00:00Z,0.8033793,406.20129794,465.15661277
2023-09-10T07:00:00Z,0.07048064,30.08900043,47.50395033
2023-09-10T08:00:00Z,0.8448506,463.90301047,535.63528034
2023-09-10T09:00:00Z,0.7933425,529.3282451,552.95972352
2023-09-10T10:00:00Z,0.41997068,255.45000527,296.07932829
2023-09-10T11:00:00Z,0.0598621,21.73210074,38.01243136
2023-09-10T12:00:00Z,0.98491521,595.40884424,687.47081907
2023-09-10T13:00:00Z,0.35201408,214.43319632,241.12964766
2023-09-10T14:00:00Z,0.64233798,510.19552452,577.46184221
2023-09-10T15:00:00Z,0.05601493,18.11993417,40.38676474
2023-09-10T16:00:00Z,0.43204669,414.96581972,525.80082607
2023-09-10T17:00:00Z,0.05157608,20.69412483,38.42418116
2023-09-10T18:00:00Z,0.93829996,844.89510833,918.59565751
2023-09-10T19:00:00Z,0.10937582,53.69540082,80.39122839
2023-09-10T20:00:00Z,1.01887274,578.9196099,639.8520777
2023-09-10T21:00:00Z,0.1305855,47.99580787,91.01809548
2023-09-10T22:00:00Z,0.38522117,134.28731651,157.55545964
2023-09-10T23:00:00Z,0.36442466,279.75756389,308.66768297
2023-09-11T00:00:00Z,2.05392169,706.22580616,741.46573168
2023-09-11T01:00:00Z,0.21605289,73.07073968,109.75486721
2023-09-11T02:00:00Z,1.31215996,456.14182273,515.67886507
2023-09-11T03:00:00Z,0.23534338,53.95165493,61.65996425
2023-09-11T04:00:00Z,0.13491226,22.44241402,27.11736428
2023-09-11T05:00:00Z,0.68857109,296.37704587,337.39983634
2023-09-11T06:00:00Z,1.18346537,556.06484085,850.91160225
2023-09-11T07:00:00Z,0.22090461,148.8396571,176.9445951
2023-09-11T08:00:00Z,1.06840829,674.46183069,940.19929263
2023-09-11T09:00:00Z,0.08795927,39.59466615,74.94130028
2023-09-11T10:00:00Z,1.44740187,750.59824491,1013.18130728
2023-09-11T11:00:00Z,0.14457737,72.34584001,138.649699
2023-09-11T12:00:00Z,0.56125479,535.5930865,656.66810039
2023-09-11T13:00:00Z,0.16066336,120.00318773,169.1785162
2023-09-11T14:00:00Z,1.2560742,601.02568669,923.21453379
2023-09-11T15:00:00Z,0.1330266,61.63417987,92.58651534
2023-09-11T16:00:00Z,1.14190355,1136.43130283,1473.05558413
2023-09-11T17:00:00Z,0.12557876,78.35574031,124.32297234
2023-09-11T18:00:00Z,0.52597463,616.11303893,793.69571849
2023-09-11T19:00:00Z,0.13475904,77.42889303,142.03603002
2023-09-11T20:00:00Z,0.48268989,474.79310167,592.26049552
2023-09-11T21:00:00Z,0.10261628,69.58496298,119.85581
2023-09-11T22:00:00Z,0.69178878,556.80877547,725.68643448
2023-09-11T23:00:00Z,0.1822258,65.12654863,87.46838585
2023-09-12T00:00:00Z,0.88357678,510.01252702,603.48294136
2023-09-12T01:00:00Z,0.15708334,37.08617477,52.78000348
2023-09-12T02:00:00Z,1.36803733,455.42427331,510.27792447
2023-09-12T03:00:00Z,0.27153785,106.01261916,145.00120935
