datetime,open,high,low,close,volume,turnover
2023-09-01T13:00:00Z,26050.0,26054.8,25860.3,25990.4,7939.534,205937024.8107
2023-09-01T14:00:00Z,25990.4,25990.4,25673.6,25704.6,16364.477,422416681.9057
2023-09-01T15:00:00Z,25704.6,25932.4,25535.0,25796.3,18299.443,471474483.6075
2023-09-01T16:00:00Z,25796.3,25960.0,25745.0,25780.0,9446.588,244113607.4979
2023-09-01T17:00:00Z,25780.0,25792.5,25305.4,25465.3,34444.665,878774284.9135
2023-09-01T18:00:00Z,25465.3,25826.9,25441.0,25638.0,14488.076,371347813.6678
2023-09-01T19:00:00Z,25638.0,25668.1,25565.0,25635.6,3565.548,91348404.5794
2023-09-01T20:00:00Z,25635.6,25923.5,25550.1,25763.6,8811.603,227045946.0705
2023-09-01T21:00:00Z,25763.6,25848.8,25717.6,25793.8,3106.382,80057346.3534
2023-09-01T22:00:00Z,25793.8,25812.8,25753.2,25753.3,1384.258,35702916.1365
2023-09-01T23:00:00Z,25753.3,25824.9,25738.5,25793.7,1368.285,35282869.8578
2023-09-02T00:00:00Z,25793.7,25829.0,25768.6,25776.1,1113.36,28724858.1193
2023-09-02T01:00:00Z,25776.1,25805.0,25757.8,25757.8,809.762,20874185.9491
2023-09-02T02:00:00Z,25757.8,25782.8,25742.5,25749.9,1069.033,27541956.1439
2023-09-02T03:00:00Z,25749.9,25799.3,25749.9,25788.4,704.931,18169715.1107
2023-09-02T04:00:00Z,25788.4,25793.8,25755.6,25767.0,816.226,21036152.5665
2023-09-02T05:00:00Z,25767.0,25838.0,25766.9,25809.4,1690.159,43605913.9203
2023-09-02T06:00:00Z,25809.4,25819.5,25782.0,25788.4,716.153,18475646.4165
2023-09-02T07:00:00Z,25788.4,25823.8,25766.6,25780.4,814.207,20997256.4542
2023-09-02T08:00:00Z,25780.4,25791.8,25762.9,25766.0,1102.852,28423420.3718
2023-09-02T09:00:00Z,25766.0,25813.0,25765.9,25800.7,1007.854,25995740.5535
2023-09-02T10:00:00Z,25800.7,25846.5,25799.9,25815.9,1304.189,33674838.27
2023-09-02T11:00:00Z,25815.9,25845.0,25773.0,25802.3,2552.995,65904222.5929
2023-09-02T12:00:00Z,25802.3,25828.4,25790.3,25795.3,753.056,19434708.3305
2023-09-02T13:00:00Z,25795.3,25840.0,25772.2,25814.4,1645.709,42461075.8515
2023-09-02T14:00:00Z,25814.4,25886.3,25800.1,25851.0,2036.55,52635273.1534
2023-09-02T15:00:00Z,25851.0,25975.0,25851.0,25880.1,5065.59,131283785.3865
2023-09-02T16:00:00Z,25880.1,25924.9,25830.0,25850.5,2102.955,54412336.3006
2023-09-02T17:00:00Z,25850.5,25865.4,25801.0,25801.1,1431.088,36965746.9221
2023-09-02T18:00:00Z,25801.1,25817.2,25749.0,25796.1,3128.031,80652576.205
2023-09-02T19:00:00Z,25796.1,25834.2,25788.2,25822.4,823.1,21248330.1938
2023-09-02T20:00:00Z,25822.4,25844.9,25805.9,25843.0,658.461,17007216.0058
2023-09-02T21:00:00Z,25843.0,25895.1,25831.2,25848.0,1296.539,33526875.1917
2023-09-02T22:00:00Z,25848.0,25851.8,25833.0,25851.8,405.773,10485626.1111
2023-09-02T23:00:00Z,25851.8,25892.0,25843.1,25857.7,697.304,18034551.3459
2023-09-03T00:00:00Z,25857.7,25860.2,25812.0,25858.1,766.745,19814138.1643
2023-09-03T01:00:00Z,25858.1,25895.1,25843.6,25852.0,583.994,15107104.2541
2023-09-03T02:00:00Z,25852.0,25872.0,25841.4,25845.2,375.149,9699613.8021
2023-09-03T03:00:00Z,25845.2,25859.9,25840.0,25849.5,266.965,6900128.319
2023-09-03T04:00:00Z,25849.5,25867.2,25849.4,25863.9,325.677,8421657.066
2023-09-03T05:00:00Z,25863.9,25893.9,25861.8,25886.4,770.868,19949246.8938
2023-09-03T06:00:00Z,25886.4,25934.1,25878.3,25900.4,1241.677,32169418.815
2023-09-03T07:00:00Z,25900.4,25940.8,25892.0,25940.8,1183.655,30675394.7224
2023-09-03T08:00:00Z,25940.8,25941.6,25866.0,25873.1,1226.245,31750864.514
2023-09-03T09:00:00Z,25873.1,25920.6,25863.0,25890.9,810.997,21002504.189
2023-09-03T10:00:00Z,25890.9,25925.2,25873.5,25918.1,732.788,18977056.0374
2023-09-03T11:00:00Z,25918.1,25932.5,25901.6,25930.0,739.51,19167786.0559
2023-09-03T12:00:00Z,25930.0,26080.0,25867.0,25883.7,8283.001,215240814.6385
2023-09-03T13:00:00Z,25883.7,25934.0,25801.1,25876.0,5776.779,149425169.417
2023-09-03T14:00:00Z,25876.0,25920.5,25866.0,25910.5,1377.479,35669862.9284
2023-09-03T15:00:00Z,25910.5,25911.0,25835.1,25859.6,1075.132,27809362.4192
2023-09-03T16:00:00Z,25859.6,25881.2,25783.0,25832.0,2685.131,69343963.9368
2023-09-03T17:00:00Z,25832.0,25876.6,25821.3,25875.4,1219.733,31530159.6752
2023-09-03T18:00:00Z,25875.4,26026.3,25868.0,25924.8,5766.947,149678547.81
2023-09-03T19:00:00Z,25924.8,26005.4,25918.4,25999.1,1765.007,45829759.4957
2023-09-03T20:00:00Z,25999.1,26133.0,25954.6,26037.2,6208.856,161756242.0543
2023-09-03T21:00:00Z,26037.2,26062.2,25939.7,25954.4,2787.942,72470638.3817
2023-09-03T22:00:00Z,25954.4,25972.0,25914.5,25935.2,976.311,25327055.8259
2023-09-03T23:00:00Z,25935.2,25969.9,25914.3,25959.9,636.668,16519252.2048
2023-09-04T00:00:00Z,25959.9,25961.4,25884.1,25899.7,1215.624,31503325.2699
2023-09-04T01:00:00Z,25899.7,25913.3,25866.0,25895.0,992.307,25686925.8002
2023-09-04T02:00:00Z,25895.0,26007.2,25882.0,25970.0,1311.454,34019485.3984
2023-09-04T03:00:00Z,25970.0,26089.0,25957.6,25972.8,3447.71,89719824.1439
2023-09-04T04:00:00Z,25972.8,26005.7,25968.0,25968.6,1217.701,31644625.322
2023-09-04T05:00:00Z,25968.6,25977.8,25920.0,25920.1,1062.181,27565770.5874
2023-09-04T06:00:00Z,25920.1,25980.6,25897.7,25956.6,1910.208,49565402.0221
2023-09-04T07:00:00Z,25956.6,26004.1,25952.3,25952.4,937.317,24349355.4656
2023-09-04T08:00:00Z,25952.4,25998.9,25950.0,25973.9,1095.214,28449496.4446
2023-09-04T09:00:00Z,25973.9,25974.0,25905.7,25944.5,1325.748,34386419.6813
2023-09-04T10:00:00Z,25944.5,25957.8,25873.1,25897.3,2811.807,72836974.2721
2023-09-04T11:00:00Z,25897.3,25930.6,25856.7,25881.0,2081.861,53889498.1152
2023-09-04T12:00:00Z,25881.0,25890.4,25812.7,25851.1,3505.602,90608393.7025
2023-09-04T13:00:00Z,25851.1,25902.6,25834.2,25870.0,1746.182,45182257.3444
2023-09-04T14:00:00Z,25870.0,25899.5,25815.0,25842.0,1614.552,41751382.9178
2023-09-04T15:00:00Z,25842.0,25953.1,25713.8,25803.9,15373.982,396647316.3612
2023-09-04T16:00:00Z,25803.9,25861.0,25796.3,25851.2,1825.64,47159583.4646
2023-09-04T17:00:00Z,25851.2,25933.5,25838.9,25900.0,2657.174,68787199.4488
2023-09-04T18:00:00Z,25900.0,25936.6,25873.7,25903.2,1073.175,27798656.2121
2023-09-04T19:00:00Z,25903.2,25903.3,25840.8,25878.0,1912.479,49465735.4556
2023-09-04T20:00:00Z,25878.0,25908.0,25782.9,25822.5,2086.286,53923048.3506
2023-09-04T21:00:00Z,25822.5,25828.0,25620.1,25664.7,9154.756,235359715.5932
2023-09-04T22:00:00Z,25664.7,25783.0,25616.3,25762.3,2476.699,63697035.5181
