datetime,open,high,low,close,volume
2023-09-01T13:00:00Z,26050.0,26054.8,25860.3,25990.4,7939.534
2023-09-01T14:00:00Z,25990.4,25990.4,25673.6,25704.6,16364.477
2023-09-01T15:00:00Z,25704.6,25932.4,25535.0,25796.3,18299.443
2023-09-01T16:00:00Z,25796.3,25960.0,25745.0,25780.0,9446.588
2023-09-01T17:00:00Z,25780.0,25792.5,25305.4,25465.3,34444.665
2023-09-01T18:00:00Z,25465.3,25826.9,25441.0,25638.0,14488.076
2023-09-01T19:00:00Z,25638.0,25668.1,25565.0,25635.6,3565.548
2023-09-01T20:00:00Z,25635.6,25923.5,25550.1,25763.6,8811.603
2023-09-01T21:00:00Z,25763.6,25848.8,25717.6,25793.8,3106.382
2023-09-01T22:00:00Z,25793.8,25812.8,25753.2,25753.3,1384.258
2023-09-01T23:00:00Z,25753.3,25824.9,25738.5,25793.7,1368.285
2023-09-02T00:00:00Z,25793.7,25829.0,25768.6,25776.1,1113.36
2023-09-02T01:00:00Z,25776.1,25805.0,25757.8,25757.8,809.762
2023-09-02T02:00:00Z,25757.8,25782.8,25742.5,25749.9,1069.033
2023-09-02T03:00:00Z,25749.9,25799.3,25749.9,25788.4,704.931
2023-09-02T04:00:00Z,25788.4,25793.8,25755.6,25767.0,816.226
2023-09-02T05:00:00Z,25767.0,25838.0,25766.9,25809.4,1690.159
2023-09-02T06:00:00Z,25809.4,25819.5,25782.0,25788.4,716.153
2023-09-02T07:00:00Z,25788.4,25823.8,25766.6,25780.4,814.207
2023-09-02T08:00:00Z,25780.4,25791.8,25762.9,25766.0,1102.852
2023-09-02T09:00:00Z,25766.0,25813.0,25765.9,25800.7,1007.854
2023-09-02T10:00:00Z,25800.7,25846.5,25799.9,25815.9,1304.189
2023-09-02T11:00:00Z,25815.9,25845.0,25773.0,25802.3,2552.995
2023-09-02T12:00:00Z,25802.3,25828.4,25790.3,25795.3,753.056
2023-09-02T13:00:00Z,25795.3,25840.0,25772.2,25814.4,1645.709
2023-09-02T14:00:00Z,25814.4,25886.3,25800.1,25851.0,2036.55
2023-09-02T15:00:00Z,25851.0,25975.0,25851.0,25880.1,5065.59
2023-09-02T16:00:00Z,25880.1,25924.9,25830.0,25850.5,2102.955
2023-09-02T17:00:00Z,25850.5,25865.4,25801.0,25801.1,1431.088
2023-09-02T18:00:00Z,25801.1,25817.2,25749.0,25796.1,3128.031
2023-09-02T19:00:00Z,25796.1,25834.2,25788.2,25822.4,823.1
2023-09-02T20:00:00Z,25822.4,25844.9,25805.9,25843.0,658.461
2023-09-02T21:00:00Z,25843.0,25895.1,25831.2,25848.0,1296.539
2023-09-02T22:00:00Z,25848.0,25851.8,25833.0,25851.8,405.773
2023-09-02T23:00:00Z,25851.8,25892.0,25843.1,25857.7,697.304
2023-09-03T00:00:00Z,25857.7,25860.2,25812.0,25858.1,766.745
2023-09-03T01:00:00Z,25858.1,25895.1,25843.6,25852.0,583.994
2023-09-03T02:00:00Z,25852.0,25872.0,25841.4,25845.2,375.149
2023-09-03T03:00:00Z,25845.2,25859.9,25840.0,25849.5,266.965
2023-09-03T04:00:00Z,25849.5,25867.2,25849.4,25863.9,325.677
2023-09-03T05:00:00Z,25863.9,25893.9,25861.8,25886.4,770.868
2023-09-03T06:00:00Z,25886.4,25934.1,25878.3,25900.4,1241.677
2023-09-03T07:00:00Z,25900.4,25940.8,25892.0,25940.8,1183.655
2023-09-03T08:00:00Z,25940.8,25941.6,25866.0,25873.1,1226.245
2023-09-03T09:00:00Z,25873.1,25920.6,25863.0,25890.9,810.997
2023-09-03T10:00:00Z,25890.9,25925.2,25873.5,25918.1,732.788
2023-09-03T11:00:00Z,25918.1,25932.5,25901.6,25930.0,739.51
2023-09-03T12:00:00Z,25930.0,26080.0,25867.0,25883.7,8283.001
2023-09-03T13:00:00Z,25883.7,25934.0,25801.1,25876.0,5776.779
2023-09-03T14:00:00Z,25876.0,25920.5,25866.0,25910.5,1377.479
